replicate	depth	EC	ph	Cl	Sr	SO4	Br	Mg
KR0015B	69	269	7.61	663	2.58	60.3	3.25	21.2
SA1009B-1	139.72	990	7.5	3083	3.25	124	10.9	188.7
SA1229A-1	171.26	1002	7.3	3103	5.04	90.5	12.9	254.6
SA1420A-1	200.56	950	7.5	2947	4.43	104	10.7	211.1
SA2074A-1	281.65	895	7.7	2854	6.55	112	9.6	153.9
SA2273A-1	305.94	757	7.4	2314	5.6	74.8	9.1	207.2
KA2051A01-9	310.25	898	7.5	2792	4.01	98.5	9.3	204.5
KA2050A-3	318.78	824	7.5	2509	5.71	84.1	8.7	210.1
KA2051A01-5	349.1	683	7.6	2062	5.09	68.3	7	190.2
KA2511A-5	394.51	1004	7.5	3152	8.26	103	12	155.8
KA3105A-4	415.16	810	7.6	2532	6	83.2	8.7	148.7
KA3105A-3	415.59	804	7.6	2476	6.15	82.5	8.8	147
HD0025A-1	415.76	1322	7.4	3874	5.88	131	21.1	142.8
KA3110A-1	415.91	1084	7.4	3503	8.23	121	14.2	148.1
KA2050A-1	422.81	912	7.6	2865	7.04	87.8	10.9	190.6
KA3600F-2	446.78	1212	7.5	4054	14	108	16.8	98.7
KA3600F-1	466.78	1235	7.5	4103	14.5	108	17.2	73.1
KA3385A-1	448.35	2093	7.5	7489	39.8	141	48.6	21.5
SA1730A-1	236.98	3635	7.7	13960	89.8	223	113.8	12.5
KA1755A-3	279.89	3475	7.8	13350	86.7	218	101.8	9.2
SA2600A-1	345.02	3168	7.5	12020	76.9	205	92.7	19.3
KA2862A-1	380.6	3795	7.8	16220	103	207	114.3	9.1
COSC	975	1110	9.8	3600	17	49	57	1.4
Outokumpu_1500	1500			7040	19.1		15.3	90.9
Outokumpu_1000	1000			6550	18.2		42.8	17
Outokumpu_500	500			6600	17.9		42.7	15.4
KFM01D	447			5800			46.2	15.2
KFM08A	549			6100			44.5	14.1
KFM24	409			5564			47.4	0
KFM12A	227			3620			19.3	39
