pathway	genome	mw
Organic carbon oxidation - CO oxidation	general	0.9
Organic carbon oxidation - CO oxidation	MEGAHIT-MaxBin2Refined-VK-3516-cosc-f3_S30_L002.014	12.5
Organic carbon oxidation - CO oxidation	MEGAHIT-MaxBin2Refined-VK-3516-cosc-f3_S30_L002.019_sub	1.5
Organic carbon oxidation - CO oxidation	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.13	75.8
Organic carbon oxidation - CO oxidation	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.22	1.3
Organic carbon oxidation - CO oxidation	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.2	8.9
Organic carbon oxidation - amino acid utilization	general	6.6
Organic carbon oxidation - amino acid utilization	MEGAHIT-MaxBin2Refined-VK-3516-cosc-f1_S23_L002.016	1.1
Organic carbon oxidation - amino acid utilization	MEGAHIT-MaxBin2Refined-VK-3516-cosc-f3_S30_L002.014	1.6
Organic carbon oxidation - amino acid utilization	MEGAHIT-MaxBin2Refined-VK-3516-cosc-f3_S30_L002.019_sub	0.2
Organic carbon oxidation - amino acid utilization	MEGAHIT-MetaBAT2Refined-VK-3516-KFM24-1_S20_L002.28	0.1
Organic carbon oxidation - amino acid utilization	MEGAHIT-MetaBAT2Refined-VK-3516-KFM24-2_S21_L002.12	3.1
Organic carbon oxidation - amino acid utilization	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f1_S23_L002.11	0.5
Organic carbon oxidation - amino acid utilization	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f1_S23_L002.3_sub	0.1
Organic carbon oxidation - amino acid utilization	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f1_S23_L002.6	2.6
Organic carbon oxidation - amino acid utilization	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f1_S23_L002.9	1
Organic carbon oxidation - amino acid utilization	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.13	9.9
Organic carbon oxidation - amino acid utilization	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.16_sub	0.1
Organic carbon oxidation - amino acid utilization	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.17	0.1
Organic carbon oxidation - amino acid utilization	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.18_sub	0.5
Organic carbon oxidation - amino acid utilization	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.19	0.1
Organic carbon oxidation - amino acid utilization	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.22	0.2
Organic carbon oxidation - amino acid utilization	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.24	0.3
Organic carbon oxidation - amino acid utilization	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7	75.4
Organic carbon oxidation - amino acid utilization	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.8	0.2
