x	y	ani
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	100
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	100
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	RT3_SRR7102746.45.fa	99.1
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	SoTa7_SRR1633224.15.fa	99
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	99
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	SoW11_SRR5011275.16.fa	98.9
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	SoB2_SRR13164375.35.fa	98.9
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	SoB1_SRR13164376.23.fa	98.8
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	SoW12_SRR5011277.1.fa	98.8
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	SoW10_SRR5011273.55.fa	98.5
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	100
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	99.9
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	RT3_SRR7102746.45.fa	99.2
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	99
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	SoTa7_SRR1633224.15.fa	98.9
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	SoB2_SRR13164375.35.fa	98.8
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	SoW11_SRR5011275.16.fa	98.8
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	SoB1_SRR13164376.23.fa	98.8
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	SoW12_SRR5011277.1.fa	98.6
MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	SoW10_SRR5011273.55.fa	98.3
RT3_SRR7102746.45.fa	RT3_SRR7102746.45.fa	100
RT3_SRR7102746.45.fa	SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	99.9
RT3_SRR7102746.45.fa	SoTa7_SRR1633224.15.fa	99.3
RT3_SRR7102746.45.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	99.2
RT3_SRR7102746.45.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	99.1
RT3_SRR7102746.45.fa	SoW10_SRR5011273.55.fa	99.1
RT3_SRR7102746.45.fa	SoW12_SRR5011277.1.fa	99
RT3_SRR7102746.45.fa	SoB2_SRR13164375.35.fa	99
RT3_SRR7102746.45.fa	SoW11_SRR5011275.16.fa	99
RT3_SRR7102746.45.fa	SoB1_SRR13164376.23.fa	98.8
SoB1_SRR13164376.23.fa	SoB1_SRR13164376.23.fa	100
SoB1_SRR13164376.23.fa	SoW12_SRR5011277.1.fa	100
SoB1_SRR13164376.23.fa	SoW11_SRR5011275.16.fa	99.8
SoB1_SRR13164376.23.fa	SoB2_SRR13164375.35.fa	99.8
SoB1_SRR13164376.23.fa	SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	99.6
SoB1_SRR13164376.23.fa	SoTa7_SRR1633224.15.fa	99.4
SoB1_SRR13164376.23.fa	SoW10_SRR5011273.55.fa	99.4
SoB1_SRR13164376.23.fa	RT3_SRR7102746.45.fa	99.3
SoB1_SRR13164376.23.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	99.2
SoB1_SRR13164376.23.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	99
SoB2_SRR13164375.35.fa	SoW11_SRR5011275.16.fa	100
SoB2_SRR13164375.35.fa	SoB2_SRR13164375.35.fa	100
SoB2_SRR13164375.35.fa	SoB1_SRR13164376.23.fa	99.8
SoB2_SRR13164375.35.fa	SoW12_SRR5011277.1.fa	99.7
SoB2_SRR13164375.35.fa	SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	99.6
SoB2_SRR13164375.35.fa	SoTa7_SRR1633224.15.fa	99.4
SoB2_SRR13164375.35.fa	SoW10_SRR5011273.55.fa	99.2
SoB2_SRR13164375.35.fa	RT3_SRR7102746.45.fa	99.2
SoB2_SRR13164375.35.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	99.2
SoB2_SRR13164375.35.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	99.1
SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	100
SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	RT3_SRR7102746.45.fa	99.9
SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	SoTa7_SRR1633224.15.fa	99.4
SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	SoW11_SRR5011275.16.fa	99.3
SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	SoB2_SRR13164375.35.fa	99.3
SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	SoW12_SRR5011277.1.fa	99.2
SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	SoB1_SRR13164376.23.fa	99.2
SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	SoW10_SRR5011273.55.fa	99.1
SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	99
SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	99
SoTa7_SRR1633224.15.fa	SoTa7_SRR1633224.15.fa	100
SoTa7_SRR1633224.15.fa	SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	99.8
SoTa7_SRR1633224.15.fa	RT3_SRR7102746.45.fa	99.4
SoTa7_SRR1633224.15.fa	SoW11_SRR5011275.16.fa	99.3
SoTa7_SRR1633224.15.fa	SoB2_SRR13164375.35.fa	99.3
SoTa7_SRR1633224.15.fa	SoB1_SRR13164376.23.fa	99.3
SoTa7_SRR1633224.15.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	99.2
SoTa7_SRR1633224.15.fa	SoW12_SRR5011277.1.fa	99.2
SoTa7_SRR1633224.15.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	99.2
SoTa7_SRR1633224.15.fa	SoW10_SRR5011273.55.fa	98.9
SoW10_SRR5011273.55.fa	SoW10_SRR5011273.55.fa	100
SoW10_SRR5011273.55.fa	SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	99.5
SoW10_SRR5011273.55.fa	RT3_SRR7102746.45.fa	99.2
SoW10_SRR5011273.55.fa	SoW12_SRR5011277.1.fa	99.2
SoW10_SRR5011273.55.fa	SoB2_SRR13164375.35.fa	99.1
SoW10_SRR5011273.55.fa	SoW11_SRR5011275.16.fa	99.1
SoW10_SRR5011273.55.fa	SoB1_SRR13164376.23.fa	99.1
SoW10_SRR5011273.55.fa	SoTa7_SRR1633224.15.fa	98.9
SoW10_SRR5011273.55.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	98.9
SoW10_SRR5011273.55.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	98.8
SoW11_SRR5011275.16.fa	SoB2_SRR13164375.35.fa	100
SoW11_SRR5011275.16.fa	SoW11_SRR5011275.16.fa	100
SoW11_SRR5011275.16.fa	SoB1_SRR13164376.23.fa	99.8
SoW11_SRR5011275.16.fa	SoW12_SRR5011277.1.fa	99.7
SoW11_SRR5011275.16.fa	SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	99.6
SoW11_SRR5011275.16.fa	SoTa7_SRR1633224.15.fa	99.4
SoW11_SRR5011275.16.fa	SoW10_SRR5011273.55.fa	99.2
SoW11_SRR5011275.16.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	99.2
SoW11_SRR5011275.16.fa	RT3_SRR7102746.45.fa	99.2
SoW11_SRR5011275.16.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	99.1
SoW12_SRR5011277.1.fa	SoW12_SRR5011277.1.fa	100
SoW12_SRR5011277.1.fa	SoB1_SRR13164376.23.fa	100
SoW12_SRR5011277.1.fa	SoW11_SRR5011275.16.fa	99.7
SoW12_SRR5011277.1.fa	SoB2_SRR13164375.35.fa	99.7
SoW12_SRR5011277.1.fa	SoMp_SAG_Desulforudis_audaxviator_MP104C.fa	99.6
SoW12_SRR5011277.1.fa	SoW10_SRR5011273.55.fa	99.4
SoW12_SRR5011277.1.fa	SoTa7_SRR1633224.15.fa	99.4
SoW12_SRR5011277.1.fa	RT3_SRR7102746.45.fa	99.3
SoW12_SRR5011277.1.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f3_S30_L002.7.fa	99.1
SoW12_SRR5011277.1.fa	MEGAHIT-MetaBAT2Refined-VK-3516-cosc-f5_S31_L002.13.fa	99
